service_name,suburb,state,address,lat,lng,day,start_time,end_time,shift_status,van_asset
Wurrumiyanga,Wurrumiyanga,NT,Wurrumiyanga,-11.761922,130.6318,Monday,2:00 pm,6:00 pm,Shift Status,Van Asset
Wurrumiyanga,Wurrumiyanga,NT,Wurrumiyanga,-11.761922,130.6318,Tuesday,10:30 am,5:00 pm,Shift Status,Van Asset
Wurrumiyanga,Wurrumiyanga,NT,Wurrumiyanga,-11.761922,130.6318,Wednesday,10:30 am,5:00 pm,Shift Status,Van Asset
Wurrumiyanga,Wurrumiyanga,NT,Wurrumiyanga,-11.761922,130.6318,Thursday,10:30 am,5:00 pm,Shift Status,Van Asset
Wurrumiyanga,Wurrumiyanga,NT,Wurrumiyanga,-11.761922,130.6318,Friday,10:30 am,5:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Friday,9:00 am,4:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Thursday,9:00 am,4:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Wednesday,9:00 am,4:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Tuesday,9:00 am,4:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Monday,9:00 am,4:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Sunday,9:00 am,4:00 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Thursday,12:30 pm,3:30 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Friday,12:30 pm,3:30 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Friday,8:00 am,11:30 am,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Tuesday,12:30 pm,3:30 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Tuesday,8:00 am,11:30 am,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Wednesday,12:30 pm,3:30 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Wednesday,8:00 am,11:30 am,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Monday,12:30 pm,3:30 pm,Shift Status,Van Asset
Maningrida Bottom Camp,Maningrida,NT,Bottom Camp,-12.055167,134.23138,Monday,8:00 am,11:30 am,Shift Status,Van Asset
Darwin Christian Church,Parap,NT,36 Parap Road,-12.431786,130.843749,Sunday,8:30 am,10:30 am,Shift Status,Van Asset
Arts in the Grass,The Gardens,NT,The Gardens,-12.445574,130.831155,Wednesday,9:30 am,12:00 pm,Shift Status,Van Asset
Palmerston Rec Centre,Palmerston City,NT,11 The Boulevard,-12.479292,130.984536,Tuesday,8:00 am,10:00 am,Shift Status,Van Asset
Gapuwiyak,Gapuwiyak,NT,"Gapuwiyaklake Evella Cpa, 9 Bambinamirri Street",-12.503485,135.80537,Friday,9:00 am,4:00 pm,Shift Status,Van Asset
Gapuwiyak,Gapuwiyak,NT,"Gapuwiyaklake Evella Cpa, 9 Bambinamirri Street",-12.503485,135.80537,Monday,9:00 am,4:00 pm,Shift Status,Van Asset
Gapuwiyak,Gapuwiyak,NT,"Gapuwiyaklake Evella Cpa, 9 Bambinamirri Street",-12.503485,135.80537,Thursday,9:00 am,4:00 pm,Shift Status,Van Asset
Gapuwiyak,Gapuwiyak,NT,"Gapuwiyaklake Evella Cpa, 9 Bambinamirri Street",-12.503485,135.80537,Tuesday,9:00 am,4:00 pm,Shift Status,Van Asset
Gapuwiyak,Gapuwiyak,NT,"Gapuwiyaklake Evella Cpa, 9 Bambinamirri Street",-12.503485,135.80537,Wednesday,9:00 am,4:00 pm,Shift Status,Van Asset
Lockhart River,Lockhart River,Unknown,Lockhart River,-12.786055,143.341866,Friday,9:00 am,12:00 pm,Shift Status,Van Asset
Lockhart River,Lockhart River,Unknown,Lockhart River,-12.786055,143.341866,Thursday,9:00 am,12:00 pm,Shift Status,Van Asset
Lockhart River,Lockhart River,Unknown,Lockhart River,-12.786055,143.341866,Wednesday,9:00 am,12:00 pm,Shift Status,Van Asset
Lockhart River,Lockhart River,Unknown,Lockhart River,-12.786055,143.341866,Tuesday,9:00 am,12:00 pm,Shift Status,Van Asset
Lockhart River,Lockhart River,Unknown,Lockhart River,-12.786055,143.341866,Monday,9:00 am,12:00 pm,Shift Status,Van Asset
Aurukun | Fridays | 8am - 4pm,Aurukun,QLD,428 Kor Street,-13.355805,141.723548,Monday,8:00 am,4:00 pm,Shift Status,Van Asset
Aurukun | Fridays | 8am - 4pm,Aurukun,QLD,428 Kor Street,-13.355805,141.723548,Tuesday,8:00 am,4:00 pm,Shift Status,Van Asset
Aurukun | Fridays | 8am - 4pm,Aurukun,QLD,428 Kor Street,-13.355805,141.723548,Wednesday,8:00 am,4:00 pm,Shift Status,Van Asset
